"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","will","govern","upon","great","nation"
"2","must","state","countri","let","peopl"
"3","new","power","everi","life","can"
"4","american","shall","may","men","will"
"5","america","right","will","freedom","peac"
"6","citizen","constitut","principl","year","world"
"7","time","union","spirit","now","free"
"8","world","interest","polit","war","without"
"9","work","public","never","liberti","make"
"10","know","duti","institut","believ","good"
"11","everi","protect","confid","time","need"
"12","chang","law","form","justic","secur"
"13","live","preserv","happi","man","purpos"
"14","togeth","just","prosper","generat","place"
"15","land","one","present","thing","seek"
"16","today","unit","hope","stand","home"
"17","democraci","foreign","question","still","human"
"18","centuri","limit","import","long","effort"
"19","made","within","yet","come","among"
"20","way","feder","experi","end","help"
