"","V1"
"_AbrahamLincoln_1_2",5
"_AbrahamLincoln_1_3",5
"_AbrahamLincoln_1_4",5
"_AbrahamLincoln_1_5",5
"_AbrahamLincoln_1_6",5
"_AbrahamLincoln_1_7",5
"_AbrahamLincoln_1_8",5
"_AbrahamLincoln_1_9",5
"_AbrahamLincoln_1_10",5
"_AbrahamLincoln_1_11",5
"_AbrahamLincoln_1_12",5
"_AbrahamLincoln_1_13",5
"_AbrahamLincoln_1_14",5
"_AbrahamLincoln_1_15",5
"_AbrahamLincoln_1_16",5
"_AbrahamLincoln_1_17",5
"_AbrahamLincoln_1_18",5
"_AbrahamLincoln_1_19",5
"_AbrahamLincoln_1_20",5
"_AbrahamLincoln_1_21",4
"_AbrahamLincoln_1_22",5
"_AbrahamLincoln_1_23",5
"_AbrahamLincoln_1_24",5
"_AbrahamLincoln_1_25",5
"_AbrahamLincoln_1_26",5
"_AbrahamLincoln_1_27",5
"_AbrahamLincoln_1_28",5
"_AbrahamLincoln_1_29",3
"_AbrahamLincoln_1_30",4
"_AbrahamLincoln_1_31",5
"_AbrahamLincoln_1_32",5
"_AbrahamLincoln_1_33",5
"_AbrahamLincoln_1_34",5
"_AbrahamLincoln_1_35",5
"_AbrahamLincoln_1_36",5
"_AbrahamLincoln_1_37",5
"_AbrahamLincoln_1_38",5
"_AbrahamLincoln_1_39",5
"_AbrahamLincoln_1_40",5
"_AbrahamLincoln_1_41",5
"_AbrahamLincoln_1_42",5
"_AbrahamLincoln_1_43",5
"_AbrahamLincoln_1_44",5
"_AbrahamLincoln_1_45",5
"_AbrahamLincoln_1_46",5
"_AbrahamLincoln_1_47",5
"_AbrahamLincoln_1_48",5
"_AbrahamLincoln_1_49",5
"_AbrahamLincoln_1_50",5
"_AbrahamLincoln_1_51",1
"_AbrahamLincoln_1_52",2
"_AbrahamLincoln_1_53",5
"_AbrahamLincoln_1_54",5
"_AbrahamLincoln_1_55",5
"_AbrahamLincoln_1_56",5
"_AbrahamLincoln_1_57",2
"_AbrahamLincoln_1_58",4
"_AbrahamLincoln_1_59",2
"_AbrahamLincoln_1_60",4
"_AbrahamLincoln_1_61",2
"_AbrahamLincoln_1_62",4
"_AbrahamLincoln_1_63",4
"_AbrahamLincoln_1_64",4
"_AbrahamLincoln_1_65",5
"_AbrahamLincoln_1_66",5
"_AbrahamLincoln_1_67",5
"_AbrahamLincoln_1_68",5
"_AbrahamLincoln_1_69",5
"_AbrahamLincoln_1_70",5
"_AbrahamLincoln_1_71",5
"_AbrahamLincoln_1_72",5
"_AbrahamLincoln_1_73",5
"_AbrahamLincoln_1_74",5
"_AbrahamLincoln_1_75",5
"_AbrahamLincoln_1_76",5
"_AbrahamLincoln_1_77",5
"_AbrahamLincoln_1_78",5
"_AbrahamLincoln_1_79",5
"_AbrahamLincoln_1_80",5
"_AbrahamLincoln_1_81",5
"_AbrahamLincoln_1_82",5
"_AbrahamLincoln_1_83",4
"_AbrahamLincoln_1_84",5
"_AbrahamLincoln_1_85",5
"_AbrahamLincoln_1_86",5
"_AbrahamLincoln_1_87",5
"_AbrahamLincoln_1_88",5
"_AbrahamLincoln_1_89",2
"_AbrahamLincoln_1_90",2
"_AbrahamLincoln_1_91",2
"_AbrahamLincoln_1_92",2
"_AbrahamLincoln_1_93",2
"_AbrahamLincoln_1_94",5
"_AbrahamLincoln_1_95",5
"_AbrahamLincoln_1_96",5
"_AbrahamLincoln_1_97",5
"_AbrahamLincoln_1_98",5
"_AbrahamLincoln_1_99",5
"_AbrahamLincoln_1_100",5
"_AbrahamLincoln_1_101",5
"_AbrahamLincoln_1_102",5
"_AbrahamLincoln_1_103",5
"_AbrahamLincoln_1_104",5
"_AbrahamLincoln_1_105",5
"_AbrahamLincoln_1_106",4
"_AbrahamLincoln_1_107",4
"_AbrahamLincoln_1_108",4
"_AbrahamLincoln_1_109",4
"_AbrahamLincoln_1_110",4
"_AbrahamLincoln_1_111",4
"_AbrahamLincoln_1_112",4
"_AbrahamLincoln_1_113",4
"_AbrahamLincoln_1_114",4
"_AbrahamLincoln_1_115",5
"_AbrahamLincoln_1_116",5
"_AbrahamLincoln_1_117",5
"_AbrahamLincoln_1_118",5
"_AbrahamLincoln_1_119",5
"_AbrahamLincoln_1_120",5
"_AbrahamLincoln_1_121",5
"_AbrahamLincoln_1_122",5
"_AbrahamLincoln_1_123",5
"_AbrahamLincoln_1_124",5
"_AbrahamLincoln_1_125",5
"_AbrahamLincoln_1_126",5
"_AbrahamLincoln_1_127",1
"_AbrahamLincoln_1_128",4
"_AbrahamLincoln_1_129",4
"_AbrahamLincoln_1_130",3
"_AbrahamLincoln_1_131",2
"_AbrahamLincoln_1_132",4
"_AbrahamLincoln_1_133",4
"_AbrahamLincoln_1_134",4
"_AbrahamLincoln_1_135",4
"_AbrahamLincoln_1_136",4
"_AbrahamLincoln_1_137",4
"_AbrahamLincoln_1_138",4
"_AbrahamLincoln_1_139",1
"_AbrahamLincoln_1_140",4
"_AbrahamLincoln_1_141",4
"_AbrahamLincoln_1_142",4
"_AbrahamLincoln_1_143",5
"_AbrahamLincoln_1_144",3
"_AbrahamLincoln_1_145",3
"_AbrahamLincoln_1_146",4
"_AbrahamLincoln_1_147",4
"_AbrahamLincoln_2_2",4
"_AbrahamLincoln_2_3",4
"_AbrahamLincoln_2_4",4
"_AbrahamLincoln_2_5",1
"_AbrahamLincoln_2_6",4
"_AbrahamLincoln_2_7",3
"_AbrahamLincoln_2_8",1
"_AbrahamLincoln_2_9",5
"_AbrahamLincoln_2_10",5
"_AbrahamLincoln_2_11",5
"_AbrahamLincoln_2_12",5
"_AbrahamLincoln_2_13",5
"_AbrahamLincoln_2_14",5
"_AbrahamLincoln_2_15",5
"_AbrahamLincoln_2_16",3
"_AbrahamLincoln_2_17",3
"_AbrahamLincoln_2_18",3
"_AbrahamLincoln_2_19",3
"_AbrahamLincoln_2_20",3
"_AbrahamLincoln_2_21",1
"_AbrahamLincoln_2_22",4
"_AbrahamLincoln_2_23",4
"_AbrahamLincoln_2_24",4
"_AbrahamLincoln_2_25",4
"_AbrahamLincoln_2_26",4
"_UlyssesSGrant_1_2",5
"_UlyssesSGrant_1_3",4
"_UlyssesSGrant_1_4",5
"_UlyssesSGrant_1_5",3
"_UlyssesSGrant_1_6",5
"_UlyssesSGrant_1_7",5
"_UlyssesSGrant_1_8",5
"_UlyssesSGrant_1_9",5
"_UlyssesSGrant_1_10",5
"_UlyssesSGrant_1_11",5
"_UlyssesSGrant_1_12",4
"_UlyssesSGrant_1_13",4
"_UlyssesSGrant_1_14",4
"_UlyssesSGrant_1_15",4
"_UlyssesSGrant_1_16",2
"_UlyssesSGrant_1_17",2
"_UlyssesSGrant_1_18",2
"_UlyssesSGrant_1_19",2
"_UlyssesSGrant_1_20",2
"_UlyssesSGrant_1_21",2
"_UlyssesSGrant_1_22",2
"_UlyssesSGrant_1_23",2
"_UlyssesSGrant_1_24",2
"_UlyssesSGrant_1_25",2
"_UlyssesSGrant_1_26",2
"_UlyssesSGrant_1_27",2
"_UlyssesSGrant_1_28",4
"_UlyssesSGrant_1_29",1
"_UlyssesSGrant_1_30",1
"_UlyssesSGrant_1_31",2
"_UlyssesSGrant_1_32",2
"_UlyssesSGrant_1_33",2
"_UlyssesSGrant_1_34",2
"_UlyssesSGrant_1_35",2
"_UlyssesSGrant_1_36",2
"_UlyssesSGrant_1_37",2
"_UlyssesSGrant_1_38",5
"_UlyssesSGrant_1_39",2
"_UlyssesSGrant_1_40",4
"_UlyssesSGrant_1_41",5
"_UlyssesSGrant_1_42",5
"_UlyssesSGrant_1_43",5
"_UlyssesSGrant_2_2",4
"_UlyssesSGrant_2_3",5
"_UlyssesSGrant_2_4",5
"_UlyssesSGrant_2_5",2
"_UlyssesSGrant_2_6",1
"_UlyssesSGrant_2_7",1
"_UlyssesSGrant_2_8",1
"_UlyssesSGrant_2_9",2
"_UlyssesSGrant_2_10",5
"_UlyssesSGrant_2_11",5
"_UlyssesSGrant_2_12",5
"_UlyssesSGrant_2_13",4
"_UlyssesSGrant_2_14",4
"_UlyssesSGrant_2_15",4
"_UlyssesSGrant_2_16",5
"_UlyssesSGrant_2_17",5
"_UlyssesSGrant_2_18",5
"_UlyssesSGrant_2_19",5
"_UlyssesSGrant_2_20",5
"_UlyssesSGrant_2_21",4
"_UlyssesSGrant_2_22",5
"_UlyssesSGrant_2_23",4
"_UlyssesSGrant_2_24",4
"_UlyssesSGrant_2_25",4
"_UlyssesSGrant_2_26",4
"_UlyssesSGrant_2_27",2
"_UlyssesSGrant_2_28",2
"_UlyssesSGrant_2_29",2
"_UlyssesSGrant_2_30",2
"_UlyssesSGrant_2_31",2
"_UlyssesSGrant_2_32",2
"_UlyssesSGrant_2_33",1
"_UlyssesSGrant_2_34",1
"_UlyssesSGrant_2_35",1
"_UlyssesSGrant_2_36",4
"_UlyssesSGrant_2_37",4
"_UlyssesSGrant_2_38",4
"_UlyssesSGrant_2_39",4
"_UlyssesSGrant_2_40",5
"_UlyssesSGrant_2_41",5
"_UlyssesSGrant_2_42",5
"_UlyssesSGrant_2_43",1
"_UlyssesSGrant_2_44",5
"_UlyssesSGrant_2_45",5
"_UlyssesSGrant_2_46",4
"_UlyssesSGrant_2_47",3
"_UlyssesSGrant_2_48",5
"_UlyssesSGrant_2_49",5
"_RutherfordBHayes_1_2",5
"_RutherfordBHayes_1_3",5
"_RutherfordBHayes_1_4",4
"_RutherfordBHayes_1_5",4
"_RutherfordBHayes_1_6",4
"_RutherfordBHayes_1_7",4
"_RutherfordBHayes_1_8",4
"_RutherfordBHayes_1_9",4
"_RutherfordBHayes_1_10",2
"_RutherfordBHayes_1_11",2
"_RutherfordBHayes_1_12",2
"_RutherfordBHayes_1_13",5
"_RutherfordBHayes_1_14",5
"_RutherfordBHayes_1_15",5
"_RutherfordBHayes_1_16",5
"_RutherfordBHayes_1_17",5
"_RutherfordBHayes_1_18",5
"_RutherfordBHayes_1_19",5
"_RutherfordBHayes_1_20",2
"_RutherfordBHayes_1_21",5
"_RutherfordBHayes_1_22",5
"_RutherfordBHayes_1_23",5
"_RutherfordBHayes_1_24",5
"_RutherfordBHayes_1_25",5
"_RutherfordBHayes_1_26",4
"_RutherfordBHayes_1_27",4
"_RutherfordBHayes_1_28",4
"_RutherfordBHayes_1_29",5
